distance,cab_type,time_stamp,destination,source,price,surge_multiplier,id,product_id,name
0.44,Lyft,1544952607890,North Station,Haymarket Square,5,1,424553bb-7174-41ea-aeb4-fe06d4f4b9d7,lyft_line,Shared
0.44,Lyft,1543284023677,North Station,Haymarket Square,11,1,4bd23055-6827-41c6-b23b-3c491f24e74d,lyft_premier,Lux
0.44,Lyft,1543366822198,North Station,Haymarket Square,7,1,981a3613-77af-4620-a42a-0c0866077d1e,lyft,Lyft
0.44,Lyft,1543553582749,North Station,Haymarket Square,26,1,c2d88af2-d278-4bfd-a8d0-29ca77cc5512,lyft_luxsuv,Lux Black XL
0.44,Lyft,1543463360223,North Station,Haymarket Square,9,1,e0126e1f-8ca9-4f2e-82b3-50505a09db9a,lyft_plus,Lyft XL
0.44,Lyft,1545071112138,North Station,Haymarket Square,16.5,1,f6f6d7e4-3e18-4922-a5f5-181cdd3fa6f2,lyft_lux,Lux Black
1.08,Lyft,1543208580200,Northeastern University,Back Bay,10.5,1,462816a3-820d-408b-8549-0b39e82f65ac,lyft_plus,Lyft XL
1.08,Lyft,1543780384677,Northeastern University,Back Bay,16.5,1,474d6376-bc59-4ec9-bf57-4e6d6faeb165,lyft_lux,Lux Black
1.08,Lyft,1543818482645,Northeastern University,Back Bay,3,1,4f9fee41-fde3-4767-bbf1-a00e108701fb,lyft_line,Shared
1.08,Lyft,1543315522249,Northeastern University,Back Bay,27.5,1,8612d909-98b8-4454-a093-30bd48de0cb3,lyft_luxsuv,Lux Black XL
1.08,Lyft,1543594383882,Northeastern University,Back Bay,13.5,1,9043bf77-1d45-4a93-9520-a083e0277f16,lyft_premier,Lux
1.08,Lyft,1543432987778,Northeastern University,Back Bay,7,1,d859ec69-b3ff-4af8-9abd-441e31430c94,lyft,Lyft
1.11,Uber,1543615981179,West End,North End,12,1,009e9c53-074d-43cf-aef2-0fbc7a47ed3d,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
1.11,Uber,1544698211014,West End,North End,16,1,23f145da-f0c1-4d1f-a184-496bc003a7db,6c84fd89-3f11-4782-9b50-97c468b19529,Black
1.11,Uber,1544728503935,West End,North End,7.5,1,357559cb-8c58-4278-a41a-e33b2e0997a3,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
1.11,Uber,1545004511430,West End,North End,7.5,1,50ef1165-9d23-416c-a65c-18906207b295,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
1.11,Uber,1544748007961,West End,North End,26,1,91c4861c-1780-42b0-bca1-bbd64a422cc3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
1.11,Uber,1543519080802,West End,North End,5.5,1,e219e545-a006-4936-a6cc-7d00adf0e418,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
1.11,Uber,1543673584211,West End,North End,,1,fa5fb705-03a0-4eb9-82d9-7fe80872f754,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
